,word,frequency,crucial subject specific word,optional subject specific word,all other words
389,statistical,19,,1,
390,sections,19,,,1
391,exploration,19,,1,
392,weeks,19,,,1
393,student,19,,,1
394,aim,19,,,1
395,government,19,,1,
396,humanities,19,,1,
397,miss,18,,,1
398,li,18,,,1
399,sources,18,,1,
400,pre,18,,,1
401,complex,18,,,1
402,analytical,18,,1,
403,ever,18,,,1
404,foundation,18,,1,
405,wider,18,,,1
406,visit,18,,,1
407,beyond,18,,,1
408,ask,18,,,1
409,news,18,,,1
410,shifts,18,,1,
411,shape,18,,1,
412,specific,18,,,1
413,locations,18,,1,
414,examine,18,,,1
415,patterns,18,,1,
416,interesting,18,,,1
417,booklet,18,,,1
418,today,18,,,1
419,related,18,,,1
420,homework,18,,,1
421,ed,18,,,1
422,degree,18,,,1
423,encourage,18,,,1
424,answers,17,,,1
425,access,17,,,1
426,days,17,,,1
427,please,17,,,1
428,aspects,17,,,1
429,apply,17,,,1
430,just,17,,,1
431,officer,17,,,1
432,industry,17,,,1
433,civil,17,,,1
434,appreciation,17,,,1
435,kingdom,17,,,1
436,deprivation,17,,1,
437,qualifications,17,,,1
438,allow,17,,,1
439,chance,17,,,1
440,stage,17,,,1
441,specialist,17,,,1
442,high,17,,,1
443,exercise,17,,,1
444,michael,17,,,1
445,cold,17,,,1
446,maths,17,,,1
447,theme,17,,1,
448,response,17,,,1
449,covered,16,,,1
450,sit,16,,,1
451,revision,16,,,1
452,material,16,,,1
453,second,16,,,1
454,much,16,,,1
455,young,16,,,1
456,teamwork,16,,,1
457,leisure,16,,1,
458,ne,16,,,1
459,lower,16,,,1
460,offers,16,,,1
461,applied,16,,,1
462,scale,16,,1,
463,summer,16,,,1
464,progression,16,,,1
465,arts,16,,,1
466,strategies,16,,,1
467,structure,16,,,1
468,biodiversity,16,,1,
469,london,16,,1,
470,essential,16,,,1
471,report,16,,,1
472,forces,16,,1,
473,keep,16,,,1
474,progress,15,,,1
475,balanced,15,,,1
476,option,15,,,1
477,police,15,,,1
478,class,15,,,1
479,everyday,15,,1,
480,rural,15,,,1
481,success,15,,,1
482,numerical,15,,1,
483,hazardous,15,,1,
484,evolving,15,,1,
485,threat,15,,1,
486,contrasting,15,,1,
487,coast,15,,1,
488,completed,15,,,1
489,interpreting,15,,,1
490,really,15,,,1
491,require,15,,,1
492,set,15,,,1
493,only,14,,,1
494,parts,14,,,1
495,geographer,14,,1,
496,travel,14,,1,
497,topical,14,,1,
498,features,14,,1,
499,shaped,14,,1,
500,surveyor,14,,1,
501,focuses,14,,,1
502,combines,14,,,1
503,enable,14,,,1
504,pathways,14,,,1
505,surveying,14,,1,
506,enables,14,,1,
507,things,14,,,1
508,works,14,,,1
509,face,14,,,1
510,next,14,,,1
511,collection,14,,,1
512,means,14,,,1
513,here,14,,,1
514,order,14,,,1
515,sustaining,14,,1,
516,split,14,,,1
517,lives,14,,,1
518,presentation,14,,,1
519,often,14,,,1
520,mix,14,,,1
521,details,14,,,1
522,job,14,,,1
523,sand,14,,1,
524,armed,14,,1,
525,english,14,,,1
526,informed,13,,,1
527,humans,13,,1,
528,divided,13,,1,
529,scientific,13,,1,
530,now,13,,,1
531,team,13,,,1
532,employable,13,,,1
533,following,13,,,1
534,effects,13,,,1
535,gap,13,,,1
536,tasks,13,,,1
537,respected,13,,,1
538,evidence,13,,1,
539,designed,13,,,1
540,best,13,,,1
541,land,13,,1,
542,interaction,13,,,1
543,photographs,13,,1,
544,methods,13,,1,
545,engage,13,,,1
546,appropriate,13,,,1
547,min,13,,,1
548,going,13,,,1
549,love,13,,,1
550,aware,13,,,1
551,economy,12,,1,
552,better,12,,,1
553,aid,12,,1,
554,worker,12,,,1
555,planner,12,,,1
556,requirements,12,,,1
557,name,12,,,1
558,secondary,12,,,1
559,given,12,,,1
