time_period,time_identifier,version,geographic_level,country_code,country_name,characteristic_gender,table,school_type,characteristic_admission_type,characteristic_religious_denomination,subject,qualification_type,subject_entry,total_achieving_9_1,total_achieving_9_4,total_achieving_9_5,total_achieving_a_b,total_achieving_a_e,total_achieving_level_1_pass,total_achieving_level_2_pass,percentage_achieving_9_1,percentage_achieving_9_4,percentage_achieving_9_5,percentage_achieving_a_b,percentage_achieving_a_e,percentage_achieving_level_1_pass,percentage_achieving_level_2_pass
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Design & Technology,GCSE,23900,23690,20436,17643,z,z,z,z,99,86,74,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Design & Technology,GCSE,82443,81390,63223,50154,z,z,z,z,99,77,61,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Drama,GCSE,20199,19922,15629,12344,z,z,z,z,99,77,61,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Drama,GCSE,36941,36656,32993,29137,z,z,z,z,99,89,79,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Drama,GCSE,57140,56578,48622,41481,z,z,z,z,99,85,73,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Economics,GCSE,4418,4408,4096,3674,z,z,z,z,100,93,83,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Economics,GCSE,2119,2111,1961,1788,z,z,z,z,100,93,84,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Economics,GCSE,6537,6519,6057,5462,z,z,z,z,100,93,84,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Engineering,GCSE,2138,2117,1649,1332,z,z,z,z,99,77,62,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Engineering,GCSE,374,370,343,311,z,z,z,z,99,92,83,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Engineering,GCSE,2512,2487,1992,1643,z,z,z,z,99,79,65,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,English & mathematics,GCSE,293268,288062,209273,146273,z,z,z,z,98,71,50,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,English & mathematics,GCSE,285733,282199,219568,163178,z,z,z,z,99,77,57,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,English & mathematics,GCSE,579001,570261,428841,309451,z,z,z,z,98,74,53,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,English Language,GCSE,297973,294067,224667,166142,z,z,z,z,99,75,56,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,English Language,GCSE,290732,288485,249674,206751,z,z,z,z,99,86,71,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,English Language,GCSE,588705,582552,474341,372893,z,z,z,z,99,81,63,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,English Literature,GCSE,288860,283948,215393,157680,z,z,z,z,98,75,55,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,English Literature,GCSE,285439,282416,243718,201504,z,z,z,z,99,85,71,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,English Literature,GCSE,574299,566364,459111,359184,z,z,z,z,99,80,63,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,"English, mathematics & science",GCSE,288018,282641,189058,128919,z,z,z,z,98,66,45,z,z,z,z
